"","Gene","Size","Start","End"
"1","PA14_00010",514,1,514
"2","PA14_00020",367,515,881
"3","PA14_00030",369,882,1250
"4","PA14_00050",806,1251,2056
"5","PA14_00060",257,2057,2313
"6","PA14_00070",178,2314,2491
"7","PA14_00080",568,2492,3059
"8","PA14_00090",684,3060,3743
"9","PA14_00100",315,3744,4058
"10","PA14_00110",183,4059,4241
"11","PA14_00120",295,4242,4536
"12","PA14_00130",88,4537,4624
"13","PA14_00140",217,4625,4841
"14","PA14_00150",90,4842,4931
"15","PA14_00160",105,4932,5036
"16","PA14_00170",457,5037,5493
"17","PA14_00180",434,5494,5927
"18","PA14_00190",314,5928,6241
"19","PA14_00200",168,6242,6409
"20","PA14_00210",341,6410,6750
"21","PA14_00230",397,6751,7147
"22","PA14_00240",185,7148,7332
"23","PA14_00250",325,7333,7657
"24","PA14_00280",306,7658,7963
"25","PA14_00290",274,7964,8237
"26","PA14_00300",328,8238,8565
"27","PA14_00310",428,8566,8993
"28","PA14_00320",216,8994,9209
"29","PA14_00340",517,9210,9726
"30","PA14_00360",307,9727,10033
"31","PA14_00380",503,10034,10536
"32","PA14_00400",304,10537,10840
"33","PA14_00410",139,10841,10979
"34","PA14_00420",121,10980,11100
"35","PA14_00430",207,11101,11307
"36","PA14_00440",268,11308,11575
"37","PA14_00450",402,11576,11977
"38","PA14_00460",317,11978,12294
"39","PA14_00470",71,12295,12365
"40","PA14_00480",75,12366,12440
"41","PA14_00490",562,12441,13002
"42","PA14_00510",3469,13003,16471
"43","PA14_00520",41,16472,16512
"44","PA14_00530",144,16513,16656
"45","PA14_00550",524,16657,17180
"46","PA14_00560",442,17181,17622
"47","PA14_00570",228,17623,17850
"48","PA14_00580",117,17851,17967
"49","PA14_00590",169,17968,18136
"50","PA14_00600",130,18137,18266
"51","PA14_00620",669,18267,18935
"52","PA14_00630",46,18936,18981
"53","PA14_00640",610,18982,19591
"54","PA14_00650",142,19592,19733
"55","PA14_00660",195,19734,19928
"56","PA14_00670",168,19929,20096
"57","PA14_00680",306,20097,20402
"58","PA14_00690",295,20403,20697
"59","PA14_00700",250,20698,20947
"60","PA14_00710",151,20948,21098
"61","PA14_00720",77,21099,21175
"62","PA14_00730",156,21176,21331
"63","PA14_00740",138,21332,21469
"64","PA14_00750",375,21470,21844
"65","PA14_00760",334,21845,22178
"66","PA14_00770",253,22179,22431
"67","PA14_00780",180,22432,22611
"68","PA14_00790",681,22612,23292
"69","PA14_00800",91,23293,23383
"70","PA14_00810",352,23384,23735
"71","PA14_00820",304,23736,24039
"72","PA14_00830",570,24040,24609
"73","PA14_00850",399,24610,25008
"74","PA14_00860",239,25009,25247
"75","PA14_00875",1199,25248,26446
"76","PA14_00890",242,26447,26688
"77","PA14_00900",249,26689,26937
"78","PA14_00910",1102,26938,28039
"79","PA14_00925",456,28040,28495
"80","PA14_00940",444,28496,28939
"81","PA14_00960",154,28940,29093
"82","PA14_00970",180,29094,29273
"83","PA14_00980",322,29274,29595
"84","PA14_00990",344,29596,29939
"85","PA14_01010",172,29940,30111
"86","PA14_01020",498,30112,30609
"87","PA14_01030",162,30610,30771
"88","PA14_01040",281,30772,31052
"89","PA14_01060",169,31053,31221
"90","PA14_01070",619,31222,31840
"91","PA14_01080",348,31841,32188
"92","PA14_01100",902,32189,33090
"93","PA14_01110",643,33091,33733
"94","PA14_01120",94,33734,33827
"95","PA14_01130",77,33828,33904
"96","PA14_01140",463,33905,34367
"97","PA14_01150",144,34368,34511
"98","PA14_01160",892,34512,35403
"99","PA14_01170",149,35404,35552
"100","PA14_01180",399,35553,35951
"101","PA14_01190",369,35952,36320
"102","PA14_01200",363,36321,36683
"103","PA14_01220",306,36684,36989
"104","PA14_01230",423,36990,37412
"105","PA14_01240",242,37413,37654
"106","PA14_01250",523,37655,38177
"107","PA14_01270",198,38178,38375
"108","PA14_01290",374,38376,38749
"109","PA14_01300",530,38750,39279
"110","PA14_01310",184,39280,39463
"111","PA14_01320",295,39464,39758
"112","PA14_01330",69,39759,39827
"113","PA14_01340",264,39828,40091
"114","PA14_01350",192,40092,40283
"115","PA14_01360",357,40284,40640
"116","PA14_01380",304,40641,40944
"117","PA14_01390",211,40945,41155
"118","PA14_01400",150,41156,41305
"119","PA14_01410",157,41306,41462
"120","PA14_01430",242,41463,41704
"121","PA14_01440",195,41705,41899
"122","PA14_01460",449,41900,42348
"123","PA14_01470",228,42349,42576
"124","PA14_01480",268,42577,42844
"125","PA14_01490",136,42845,42980
"126","PA14_01500",302,42981,43282
"127","PA14_01510",93,43283,43375
"128","PA14_01520",75,43376,43450
"129","PA14_01540",207,43451,43657
"130","PA14_01550",166,43658,43823
"131","PA14_01560",113,43824,43936
"132","PA14_01580",475,43937,44411
"133","PA14_01600",497,44412,44908
"134","PA14_01610",95,44909,45003
"135","PA14_01620",448,45004,45451
"136","PA14_01640",305,45452,45756
"137","PA14_01660",456,45757,46212
"138","PA14_01670",524,46213,46736
"139","PA14_01680",365,46737,47101
